Name,Institution,URL,Matched Emails
Frank Allgöwer,University of Stuttgart,Error,
John Baillieul,Boston University,Error,
Sanjoy Baruah,University of North Carolina at Chapel Hill,Error,
George Bollas,University of Connecticut,Error,
Michael Caramanis,Boston University,Error,
Christos Cassandras,Boston University,Error,
Isaac Cohen,UTRC,Error,
Peter Corke,Queensland University of Technology,Error,
Krzysztof Czarnecki,University of Waterloo,Error,
Luca De,Nardis University of Rome La Sapienza,Error,
Veronique Delebarre,SafeRiver,Error,
Marco Di,Natale Scuola Superiore Sant'Anna,Error,
Magnus Egerstedt,Georgia Institute of Technology,Error,
Reza Emami,University of Toronto,Error,
Zoran Filipi,Clemson University,Error,
Soha Hassoun,Tufts University,Error,
Florian Holzapfel,Technical University of Munich,Error,
Pau-Lo Hsu,National Chiao-Tung University,Error,
Ahmed Jerraya,CEA Tech,Error,
Zhihao Jiang,University of Pennsylvania,Error,
Wisam Kadhim,ASML,Error,
Usman Khan,Tufts University,Error,
Stephen Koffman,Boeing Satellite Systems,Error,
Ratnesh Kumar,Iowa State University,Error,
Mark Lawford,McMaster University,Error,
Miriam Leeser,Northeastern University,Error,
Hugh T.,Liu University of Toronto,Error,
Lennart Ljung,Linköping University,Error,
Tim Lüth,Technical University of Munich,Error,
Jan Madsen,Technical University of Denmark,Error,
Neeraj Magotra,Western New England University,Error,
Mary Ann,Maher SoftMEMS LLC,Error,
Oded Maler,CNRS-VERIMAG University of Grenoble,Error,
Pete Manolios,Northeastern University,Error,
Alexandru Mereacre,University of Oxford,Error,
Laurent Michel,University of Connecticut,Error,
William Milam,Ford Motor Co,Error,
Sayan Mitra,University of Illinois at Urbana-Champaign,Error,
Andreas Naderlinger,University of Salzburg,Error,
Sam Nazari,Draper Laboratory,Error,
Gabriela Nicolescu,‚Ecole Polytechnique de Montreal,Error,
Kurt N.,Ochsie Boeing Co,Error,
Ian O'Connor,‚Ecole Centrale de Lyon,Error,
Alex Ohata,Toyota Motor Company,Error,
Taskin Padir,Worcester Polytechnic Institute,Error,
Miroslav Pajic,University of Pennsylvania,Error,
Krishna R.,Pattipati University of Connecticut,Error,
Dario Pompili,Rutgers University,Error,
Wolfgang Pree,University of Salzburg,Error,
Bernhard Schätz,fortiss GmbH,Error,
Gunar Schirner,Northeastern University,Error,
Ramesh Sethu,General Motors,Error,
Frank Slomka,Ulm University,Error,
Mark Spong,The University of Texas at Dallas,Error,
Charles Taylor,University of Louisiana at Lafayette,Error,
Russ Tedrake,Massachusetts Institute of Technology,Error,
Ozer Unluhisarcikli,ASML,Error,
Hans Vangheluwe,University of Antwerp/McGill University,Error,
Daniel Varro,Budapest University of Tech. and Economics,Error,
Yan Wan,University of North Texas,Error,
Alan Wassyng,McMaster University,Error,
David Wilson,Auckland University of Technology,Error,
Alexander M.,Wylginski Worcester Polytechnic Institute,Error,
Sergey Yurgenson,Harvard Medical School,Error,
Justyna Zander,Worcester Polytechnic Institute/MathWorks,Error,
Qi Zhu,University of California Riverside,Error,
