Mohammad Al Faruque, University of California Irvine
Frank Allgöwer, University of Stuttgart
John Baillieul, Boston University
Sanjoy Baruah, University of North Carolina at Chapel Hill
George Bollas, University of Connecticut
Michael Caramanis, Boston University
Christos Cassandras, Boston University
Isaac Cohen, UTRC
Peter Corke, Queensland University of Technology
Krzysztof Czarnecki, University of Waterloo
Luca De Nardis, University of Rome La Sapienza
Veronique Delebarre, SafeRiver
Marco Di Natale Scuola, Superiore Sant'Anna
Magnus Egerstedt Georgia, Institute of Technology
Reza Emami, University of Toronto
Zoran Filipi, Clemson University
Soha Hassoun, Tufts University
Florian Holzapfel, Technical University of Munich
Pau-Lo Hsu, National Chiao-Tung University
Ahmed Jerraya, CEA Tech
Zhihao Jiang, University of Pennsylvania
Wisam Kadhim, ASML
Usman Khan, Tufts University
Stephen Koffman, Boeing Satellite Systems
Ratnesh Kumar, Iowa State University
Mark Lawford, McMaster University
Miriam Leeser, Northeastern University
Hugh T. Liu, University of Toronto
Lennart Ljung, Linköping University
Tim Lüth, Technical University of Munich
Jan Madsen, Technical University of Denmark
Neeraj Magotra, Western New England University
Mary Ann Maher, SoftMEMS LLC
Oded Maler, CNRS-VERIMAG University of Grenoble
Pete Manolios, Northeastern University
Alexandru Mereacre, University of Oxford
Laurent Michel, University of Connecticut
William Milam, Ford Motor Co
Sayan Mitra, University of Illinois at Urbana-Champaign
Andreas Naderlinger, University of Salzburg
Sam Nazari, Draper Laboratory
Gabriela Nicolescu, Ecole Polytechnique de Montreal
Kurt N. Ochsie, Boeing Co
Ian O'Connor, Ecole Centrale de Lyon
Alex Ohata, Toyota Motor Company
Taskin Padir, Worcester Polytechnic Institute
Miroslav Pajic, University of Pennsylvania
Krishna R. Pattipati, University of Connecticut
Dario Pompili, Rutgers University
Wolfgang Pree, University of Salzburg
Bernhard Schätz, fortiss GmbH
Gunar Schirner, Northeastern University
Ramesh Sethu, General Motors
Frank Slomka, Ulm University
Mark Spong, The University of Texas at Dallas
Charles Taylor, University of Louisiana at Lafayette
Russ Tedrake, Massachusetts Institute of Technology
Ozer Unluhisarcikli, ASML
Hans Vangheluwe, University of Antwerp/McGill University
Daniel Varro, Budapest University of Tech. and Economics
Yan Wan, University of North Texas
Alan Wassyng, McMaster University
David Wilson, Auckland University of Technology
Alexander M. Wylginski, Worcester Polytechnic Institute
Sergey Yurgenson, Harvard Medical School
Justyna Zander, Worcester Polytechnic Institute/MathWorks
Qi Zhu, University of California Riverside
